Departamento,Municipio,Localidad,Recinto,CantidadMesas,TotalInscritos,AP,ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,MORENA,UNIDAD,PDC,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal,latitu,longitud,Cincun,Descripcion_RuralUrbano,ValorMax,ColumnaMax,Dominio_Abs,VotosNulos_Ajus
La Paz,La (Marka) San Andrés de Machaca,Laquinamaya(Lakinamaya),Esc. Nucleo Laquinamaya,4,608,87,3,12,8,34,48,0,18,104,314,72,170,4,174,560,314,560,-16.94842911,-69.19245911,19,Rural,170,VotoNuloDirecto,Ninguno > 50%,167
La Paz,La (Marka) San Andrés de Machaca,Villa Pusuma(Phusuma)Alto Machaca,Col. Villa Pusuma Alto Machaca,2,374,36,1,5,5,16,17,0,14,84,178,68,104,0,104,350,178,350,-16.8032608,-69.16448975,19,Rural,104,VotoNuloDirecto,Ninguno > 50%,100
La Paz,La (Marka) San Andrés de Machaca,Chunkara Quta,Esc. Litoral Chuncarcota,2,220,31,1,0,6,1,13,0,5,40,97,29,81,1,82,208,97,208,-16.79199028,-69.02102661,19,Rural,81,VotoNuloDirecto,Ninguno > 50%,79
La Paz,La (Marka) San Andrés de Machaca,Nazacara (Nazaq'ara),U.E. Alto de la Alianza,2,340,15,1,2,10,7,12,0,12,151,210,47,61,0,61,318,210,318,-16.93558121,-68.76922607,19,Rural,151,PDC,PDC > 50%,59
La Paz,La (Marka) San Andrés de Machaca,Villa Artasihue(Artasiwi),Colegio Boliviano Japones,2,392,27,1,2,6,11,15,0,6,79,147,53,108,2,110,310,147,310,-17.02766037,-68.95057678,19,Rural,108,VotoNuloDirecto,PDC > 50%,106
La Paz,La (Marka) San Andrés de Machaca,Sombra Pata,Esc. Franz Tamayo,2,282,18,2,4,3,10,19,0,5,72,133,30,91,0,91,254,133,254,-16.73553085,-69.09546661,19,Rural,91,VotoNuloDirecto,PDC > 50%,87
La Paz,La (Marka) San Andrés de Machaca,Conchacollo(Kuncha qullu),Colegio Tupak Katari De Conchacollo,4,590,61,5,4,9,22,38,0,16,162,317,83,148,2,150,550,317,550,-16.73450089,-68.99820709,19,Rural,162,PDC,PDC > 50%,144
La Paz,La (Marka) San Andrés de Machaca,Rosa Pata   Erben Kalla,Unidad Educativa Rosa Pata Erben Kalla,2,268,20,1,1,3,11,20,0,8,110,174,30,51,1,52,256,174,256,-16.83391953,-68.91934967,19,Rural,110,PDC,PDC > 50%,50
La Paz,La (Marka) San Andrés de Machaca,Antaquirani,Unidad Educativa Antaquirani,2,170,7,1,5,3,8,12,0,10,52,98,21,36,1,37,156,98,156,-16.86829948,-69.07945251,19,Rural,52,PDC,PDC > 50%,36
La Paz,La (Marka) San Andrés de Machaca,Choque Kanapata,U.E. 1ro de Mayo,2,188,27,1,3,5,4,18,0,8,73,139,11,24,2,26,176,139,176,-16.88779831,-68.89215851,19,Rural,73,PDC,PDC > 50%,25
La Paz,La Asunta,La Asunta,Esc. Rene Barrientos Ortuno,58,13534,1216,105,185,2258,112,304,0,583,3126,7889,1493,2634,32,2666,12048,7889,12048,-16.12306023,-67.19631195,17,Urbano,3126,PDC,Ninguno > 50%,2559
La Paz,La Asunta,Central Quinuni,Unidad Educativa Central Quinuni,14,3050,250,26,44,501,32,47,0,72,744,1716,420,648,10,658,2794,1716,2794,-16.24596024,-67.12872314,17,Rural,744,PDC,Ninguno > 50%,632
La Paz,La Asunta,Las Mercedes,Colegio Las Mercedes,12,2654,148,16,28,641,35,35,0,143,737,1783,250,365,6,371,2404,1783,2404,-16.28540993,-67.34163666,17,Rural,737,PDC,Ninguno > 50%,356
La Paz,La Asunta,Puerto Rico,Escuela Puerto Rico,10,2184,276,8,30,383,25,55,0,63,305,1145,275,558,0,558,1978,1145,1978,-15.91417027,-67.23912048,17,Rural,558,VotoNuloDirecto,Ninguno > 50%,536
La Paz,La Asunta,Villa Barrientos,U.E. Villa Barrientos,2,154,3,1,1,37,1,10,0,1,40,94,7,21,2,23,124,94,124,-16.3156395,-67.42681122,17,Rural,40,PDC,Ninguno > 50%,22
La Paz,La Asunta,La Calzada,U.E. La Calzada,8,1842,82,9,30,582,26,29,0,46,532,1336,132,176,0,176,1644,1336,1644,-16.29706955,-67.32013702,17,Rural,582,LIBRE,Ninguno > 50%,169
La Paz,La Asunta,Chamaca,Esc. Batallon Colorados,4,942,62,6,19,229,15,14,0,40,226,611,78,113,0,113,802,611,802,-16.24007034,-67.23377228,17,Rural,229,LIBRE,Ninguno > 50%,108
La Paz,La Asunta,Yanamayu,Esc. Yanamayu,4,776,107,7,4,139,5,47,0,19,159,487,62,116,1,117,666,487,666,-16.25432968,-67.24638367,17,Rural,159,PDC,Ninguno > 50%,112
La Paz,La Asunta,Calizaya,U.E. Callisaya,10,2228,200,14,40,446,22,57,0,106,643,1528,248,239,0,239,2015,1528,2015,-16.20128059,-67.17803192,17,Rural,643,PDC,Ninguno > 50%,229
La Paz,La Asunta,Charia,U.E. Charia,8,1776,269,18,22,236,30,54,0,64,358,1051,207,394,0,394,1652,1051,1652,-16.06197739,-67.17042542,17,Rural,394,VotoNuloDirecto,Ninguno > 50%,378
La Paz,La Asunta,Pichari,U.E. Mariscal Sucre,2,518,52,1,6,174,3,6,0,25,82,349,39,67,3,70,458,349,458,-16.03660965,-67.17240143,17,Rural,174,LIBRE,Ninguno > 50%,67
La Paz,La Asunta,San José,Casa de Gobierno,4,534,44,3,9,122,12,17,0,31,97,335,68,65,0,65,468,335,468,-16.02655983,-67.16822052,17,Rural,122,LIBRE,Ninguno > 50%,62
