Departamento,Municipio,Localidad,Recinto,CantidadMesas,TotalInscritos,AP,ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,MORENA,UNIDAD,PDC,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,VotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal,latitu,longitud,Cincun,Descripcion_RuralUrbano,ValorMax,ColumnaMax,Dominio_Abs,VotosNulos_Ajus
Chuquisaca,Villa Vaca Guzmán,Taperillas,Puesto de Salud Taperillas,2,416,39,1,18,21,5,8,0,54,62,208,77,49,0,49,334,208,334,-19.73688126,-63.84599304,4,Rural,62,PDC,Ninguno > 50%,47
Chuquisaca,Villa Vaca Guzmán,Karatindi,U.E. Karatindi,2,310,37,1,6,5,6,74,0,11,39,179,56,28,1,29,264,179,264,-20.65052986,-63.76055908,4,Rural,74,MAS_IPSP,Ninguno > 50%,28
Chuquisaca,Zudañez,Zudañez,Col. Jaime De Zudañez,14,3052,238,21,69,239,17,113,0,137,642,1476,329,731,0,731,2536,1476,2536,-19.11867905,-64.70162201,3,Urbano,731,VotoNuloDirecto,Ninguno > 50%,702
Chuquisaca,Zudañez,Zudañez,Col. Ignacio Prudencio Bustillos,12,2884,273,22,54,151,24,114,0,84,372,1094,462,968,0,968,2524,1094,2524,-19.1135807,-64.70308685,3,Urbano,968,VotoNuloDirecto,Ninguno > 50%,929
Chuquisaca,Zudañez,Capilla Llave,Unidad Educativa Capilla Llave,2,186,33,1,2,0,2,7,0,2,22,69,31,62,0,62,162,69,162,-18.98063087,-64.70780945,3,Rural,62,VotoNuloDirecto,Ninguno > 50%,60
Chuquisaca,Zudañez,Mandinga,Escuela Mandinga,2,294,59,4,4,7,2,4,0,3,29,112,47,107,0,107,266,112,266,-19.25090981,-64.69576263,3,Rural,107,VotoNuloDirecto,Ninguno > 50%,103
Chuquisaca,Zudañez,Sayan Chaca,Escuela Sayan Chaca,2,444,52,18,12,3,4,3,0,3,27,122,85,199,0,199,406,122,406,-19.24449921,-64.63452148,3,Rural,199,VotoNuloDirecto,Ninguno > 50%,191
Chuquisaca,Zudañez,Huaca Huasi,Unidad Educativa Huaca Huasi,2,278,19,2,4,1,0,5,0,2,26,59,45,122,0,122,226,59,226,-18.98110962,-64.78074646,3,Rural,122,VotoNuloDirecto,Ninguno > 50%,117
Chuquisaca,Culpina,Culpina,U. Edu. Jose Antonio Zampa,24,5348,392,243,319,353,22,260,0,263,907,2759,756,985,2,987,4502,2759,4502,-20.82379913,-64.94445801,5,Urbano,985,VotoNuloDirecto,Ninguno > 50%,948
Chuquisaca,Culpina,Culpina,CEA Culpina San Roque,10,2028,105,90,95,152,15,104,0,99,394,1054,279,375,0,375,1708,1054,1708,-20.82273293,-64.94508362,5,Urbano,394,PDC,Ninguno > 50%,360
Chuquisaca,Culpina,Tojlasa,Unidad Educativa Tojlasa,6,1184,67,27,21,36,7,95,0,23,188,464,197,299,0,299,960,464,960,-20.85253906,-64.91499329,5,Rural,299,VotoNuloDirecto,Ninguno > 50%,287
Chuquisaca,Culpina,Sajlina,Unidad Educativa Sajlina,6,1218,112,71,73,58,3,37,0,24,201,579,191,220,16,236,1006,579,1006,-20.80950928,-64.99878693,5,Rural,220,VotoNuloDirecto,Ninguno > 50%,227
Chuquisaca,Culpina,Salitre,Unidad Educativa Salitre,2,230,12,10,6,3,4,10,0,6,29,80,43,81,0,81,204,80,204,-20.9093399,-64.90749359,5,Rural,81,VotoNuloDirecto,Ninguno > 50%,78
Chuquisaca,Culpina,La Cienega,Unidad Educativa La Cienega,2,200,18,4,6,11,0,2,0,2,40,83,32,30,1,31,146,83,146,-20.93265915,-64.96806335,5,Rural,40,PDC,Ninguno > 50%,30
Chuquisaca,Culpina,La Cueva,Unidad Educativa La Cueva,2,422,52,13,14,12,2,30,0,13,26,162,60,104,0,104,326,162,326,-20.93161964,-64.88227844,5,Rural,104,VotoNuloDirecto,Ninguno > 50%,100
Chuquisaca,Culpina,El Monte,Unidad Educativa El Monte,4,594,48,14,8,19,2,48,0,19,83,241,121,122,0,122,484,241,484,-21.0060997,-64.91686249,5,Rural,122,VotoNuloDirecto,Ninguno > 50%,117
Chuquisaca,Culpina,La Loma,Unidad Educativa La Loma,2,412,29,15,5,6,4,11,0,9,34,113,65,118,0,118,296,113,296,-20.85907936,-64.72995758,5,Rural,118,VotoNuloDirecto,Ninguno > 50%,113
Chuquisaca,Culpina,San Francisco,Unidad Educativa San Francisco,2,260,34,6,3,7,1,13,0,0,26,90,53,77,0,77,220,90,220,-20.75572968,-64.71109772,5,Rural,77,VotoNuloDirecto,Ninguno > 50%,74
Chuquisaca,Culpina,El Palmar,Unidad Educativa El Palmar,6,1252,41,36,35,122,12,30,0,95,260,631,298,182,7,189,1118,631,1118,-20.85187912,-64.31773376,5,Rural,260,PDC,Ninguno > 50%,181
Chuquisaca,Culpina,Puca Pampa,Unidad Educativa Puca Pampa,4,588,29,5,3,5,4,19,0,9,38,112,146,209,1,210,468,112,468,-20.77544975,-64.59649658,5,Rural,209,VotoNuloDirecto,Ninguno > 50%,202
Chuquisaca,Culpina,El Campamento,Unidad Educativa El Campamento,2,340,78,19,24,16,4,27,0,17,31,216,40,42,0,42,298,216,298,-20.90217972,-64.51947784,5,Rural,78,AP,Ninguno > 50%,40
Chuquisaca,Culpina,Carapari (Pilaya),Unidad Educativa Pilaya,2,130,11,0,3,15,7,11,0,10,7,64,17,18,0,18,99,64,99,-20.94001389,-64.68878937,5,Rural,18,VotoNuloDirecto,Ninguno > 50%,17
Chuquisaca,Culpina,Puma Ckasa,Unidad Educativa Puma Ckasa,2,288,7,1,15,15,4,11,0,1,3,57,55,86,0,86,198,57,198,-20.74906921,-64.66480255,5,Rural,86,VotoNuloDirecto,Ninguno > 50%,83
Chuquisaca,Culpina,Sumaya,Unidad Educativa Sumaya,2,148,6,3,2,2,2,6,0,6,10,37,28,39,0,39,104,37,104,-20.75736046,-64.78716278,5,Rural,39,VotoNuloDirecto,Ninguno > 50%,37
Chuquisaca,Culpina,Huajlita,Unidad Educativa Huajlita,2,370,40,15,7,6,4,13,0,2,4,91,97,77,5,82,270,91,270,-20.82584,-64.60418701,5,Rural,77,VotoNuloDirecto,Ninguno > 50%,79
Chuquisaca,Culpina,El Manzanal,Escuela El Manzanal,2,154,19,5,4,5,0,5,0,5,5,48,19,47,0,47,114,48,114,-21.0984993,-64.40589905,5,Rural,47,VotoNuloDirecto,Ninguno > 50%,45
